Elapsed Time (s),Long accel (g),Lat accel (g),Vert accel (g),Roll--Euler (deg),Pitch--Euler (deg),Yaw--Euler (deg),Latitude,Longitude,Speed (kts),Course (deg),GPS Time,Flagged
4.71,-0.3161132,0.2753244,0.5615204,-10.21717231,14.89415284,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.355Z,N
4.751,-0.203944,0.560846,0.9898028,-12.14133477,13.40905885,258.4562073,50.14785953,-5.057834241,2.594547313,322.3351133,2021-11-17T13:20:25.396Z,N
4.801,-0.101972,0.3670992,0.9388168,-16.04661919,11.43670599,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.446Z,N
4.851,-0.1223664,0.2345356,1.152958,-19.93186127,11.96902105,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.496Z,N
4.901,-0.4282824,0.4486768,1.25493,-21.81512882,13.57587341,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.546Z,N
4.951,-0.0101972,1.988454,-1.9979768,-24.52700418,7.738713543,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.596Z,N
5.001,-0.4894656,-0.0713804,-3.0176968,-28.64104907,4.32899264,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.646Z,N
5.051,1.172678,0.4486768,0.9694084,-30.12072757,6.735792053,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.696Z,N
5.101,0.6220292,-0.5404516,-0.2542556,-34.02462461,5.98298227,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.746Z,N
5.151,0.5404516,-0.815776,0.5513232,-36.98206234,4.578942557,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.796Z,N
5.215,0.4282824,-0.356902,0.7654644,-39.91706632,7.181202772,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.860Z,N
5.252,0.1427608,-0.1733524,0.8572392,-41.16198782,11.26041027,244.8127136,50.1478565,-5.057849923,2.300591976,318.967557,2021-11-17T13:20:25.897Z,N
5.301,0.1835496,0.7443956,0.49014,-43.93743174,15.56982076,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:25.946Z,N
5.351,0.8769592,3.5588228,-3.5173596,-53.46022142,16.5467854,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:25.996Z,N
5.401,0.4486768,2.8450188,-0.2644528,-59.6033379,20.05704669,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.046Z,N
5.452,-0.4180852,0.4384796,0.9694084,-58.65738403,25.60121535,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.097Z,N
5.501,-0.3670992,0.050986,1.0917748,-56.03204034,24.86331928,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.146Z,N
5.553,-0.2957188,-0.4282824,1.5710432,-60.68548574,25.29001656,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.198Z,N
5.601,-0.5812404,-0.2855216,1.2753244,-67.02281523,26.39872018,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.246Z,N
5.652,-0.8565648,0.8259732,1,-70.85588321,23.49990084,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.297Z,N
5.708,0.6016348,4.0686828,-0.3664248,-72.44591708,18.54134747,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.353Z,N
5.756,0.611832,1.4174108,-0.7947072,-64.4258339,13.11021673,256.2955322,50.14785477,-5.057857525,2.300591976,318.967557,2021-11-17T13:20:26.401Z,N
5.801,1.1114948,0.3772964,0.6023092,-66.55438037,14.51264068,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.446Z,N
5.852,1.1012976,-0.3670992,0.898028,-74.64145405,16.6613106,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.497Z,N
5.901,0.6322264,-0.9483396,0.4085624,-74.00077548,18.44388067,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.546Z,N
5.954,0.2753244,-0.1631552,0.694084,-74.01629367,20.27622575,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.599Z,N
6.001,0.0611832,-0.1427608,1.101972,-74.93509071,23.77924703,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.646Z,N
6.053,1.2134668,2.1312148,0.8572392,-77.78718644,26.48086174,245.0633545,50.14785271,-5.057866592,2.361946948,318.2386651,2021-11-17T13:20:26.698Z,N
