Latitude,Longitude,Course (deg),GPS Time
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.861Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.911Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:56.962Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.012Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.064Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.114Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.164Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.214Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.264Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.317Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.367Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.417Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.468Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.518Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.569Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.620Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.670Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.724Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.774Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.824Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.875Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.926Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:57.976Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.026Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.077Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.127Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.177Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.230Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.281Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.331Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.382Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.433Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.483Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.533Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.584Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.634Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.684Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.734Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.793Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.841Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.892Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.942Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:58.993Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.043Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.093Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.143Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.193Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.244Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.294Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.344Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.397Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.445Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.496Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.546Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.603Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.651Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.701Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.751Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.802Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.852Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.904Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:22:59.954Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.004Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.055Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.106Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.156Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.206Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.257Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.308Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.358Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.409Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.459Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.509Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.561Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.609Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.660Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.710Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.762Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.812Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.862Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.912Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:00.965Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.014Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.066Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.114Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.167Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.215Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.265Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.316Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.366Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.417Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.468Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.518Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.569Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.619Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.669Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.719Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.769Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.820Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.870Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.920Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:01.970Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.021Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.071Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.122Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.173Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.224Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.275Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.326Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.376Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.427Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.477Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.528Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.578Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.628Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.678Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.729Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.779Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.829Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.882Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.930Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:02.985Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.032Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.084Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.133Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.185Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.234Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.287Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.338Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.390Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.440Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.490Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.541Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.594Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.643Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.693Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.744Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.795Z
,,,
51.530305,-0.060361511,358.9999996,2021-11-17T16:23:03.846Z
,,,
